example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.38659 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01546 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.01648 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.01521 seconds |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.03122 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.01252 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.01241 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.01218 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.01281 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.02328 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00832 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00832 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00779 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00757 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.01698 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.02014 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01465 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.01378 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.01735 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.00611 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.00574 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.00578 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.00567 seconds |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01291 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.00626 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.01581 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01717 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.01969 seconds |
./spec/features/calculations_spec.rb[29:1] | passed | 0.00723 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.00705 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.00771 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.00797 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.00779 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.00694 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.02053 seconds |
./spec/features/calculations_spec.rb[36:1] | passed | 0.00828 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.0398 seconds  |
./spec/features/calculations_spec.rb[38:1] | passed | 0.02147 seconds |
./spec/features/calculations_spec.rb[39:1] | passed | 0.01965 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.02056 seconds |
./spec/features/calculations_spec.rb[41:1] | passed | 0.03793 seconds |
./spec/features/calculations_spec.rb[42:1] | passed | 0.02069 seconds |
./spec/features/calculations_spec.rb[43:1] | passed | 0.00729 seconds |
./spec/features/calculations_spec.rb[44:1] | passed | 0.00727 seconds |
./spec/features/calculations_spec.rb[45:1] | passed | 0.00655 seconds |
./spec/features/calculations_spec.rb[46:1] | passed | 0.00643 seconds |
./spec/features/calculations_spec.rb[47:1] | passed | 0.00647 seconds |
./spec/features/calculations_spec.rb[48:1] | passed | 0.01934 seconds |
./spec/features/calculations_spec.rb[49:1] | passed | 0.00746 seconds |
./spec/features/calculations_spec.rb[50:1] | passed | 0.07873 seconds |
